chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	kernel_id	iteration	score	pvalue	qvalue
1	2480000	2485000	1	3340000	3345000	496	668	0	0	0.3847862539	0.0000000000	0.0000000000
1	2485000	2490000	1	2510000	2515000	497	502	0	0	0.4998001731	0.0000000000	0.0000000000
1	2530000	2535000	1	2570000	2575000	506	514	0	0	0.4893324767	0.0000000000	0.0000000000
1	2535000	2540000	1	3340000	3345000	507	668	0	0	0.4121965860	0.0000000000	0.0000000000
1	2530000	2535000	1	2700000	2705000	506	540	0	0	0.3274952352	0.0000039832	0.0000040180
1	2600000	2605000	1	3055000	3060000	520	611	0	0	0.3306324224	0.0000258251	0.0000258834
1	2600000	2605000	1	3115000	3120000	520	623	0	0	0.3628476065	0.0000032240	0.0000032562
1	2600000	2605000	1	3225000	3230000	520	645	0	0	0.3280830024	0.0000301352	0.0000301942
1	2690000	2695000	1	3335000	3340000	538	667	0	0	0.3093372407	0.0000897004	0.0000897126
1	3070000	3075000	1	3840000	3845000	614	768	0	0	0.3192908260	0.0000507476	0.0000507904
1	3140000	3145000	1	3840000	3845000	628	768	0	0	0.3607502357	0.0000037199	0.0000037536
1	3405000	3410000	1	3530000	3535000	681	706	0	0	0.6702337566	0.0000000000	0.0000000000
1	3365000	3370000	1	3400000	3405000	673	680	0	0	0.3560593335	0.0000000074	0.0000000091
1	3405000	3410000	1	3645000	3650000	681	729	0	0	0.4829730765	0.0000000000	0.0000000000
1	3405000	3410000	1	3725000	3730000	681	745	0	0	0.3129802272	0.0000000433	0.0000000476
1	3480000	3485000	1	3530000	3535000	696	706	0	0	0.6299713958	0.0000000000	0.0000000000
1	3480000	3485000	1	3640000	3645000	696	728	0	0	0.6168846619	0.0000000000	0.0000000000
1	3480000	3485000	1	3720000	3725000	696	744	0	0	0.3556492170	0.0000000003	0.0000000005
1	3545000	3550000	1	3640000	3645000	709	728	0	0	0.6322516005	0.0000000000	0.0000000000
1	3550000	3555000	1	3710000	3715000	710	742	0	0	0.3325046167	0.0000000051	0.0000000063
1	3690000	3695000	1	3810000	3815000	738	762	0	0	0.4878737504	0.0000000000	0.0000000000
1	3780000	3785000	1	3805000	3810000	756	761	0	0	0.5093881661	0.0000000000	0.0000000000
1	3835000	3840000	1	4130000	4135000	767	826	0	0	0.5260840645	0.0000000000	0.0000000000
1	3830000	3835000	1	4705000	4710000	766	941	0	0	0.5725726624	0.0000000000	0.0000000000
1	3835000	3840000	1	4330000	4335000	767	866	0	0	0.4065469249	0.0000000246	0.0000000280
1	3830000	3835000	1	4425000	4430000	766	885	0	0	0.4647378136	0.0000000000	0.0000000000
1	3835000	3840000	1	4520000	4525000	767	904	0	0	0.3974916576	0.0000000544	0.0000000590
1	3835000	3840000	1	4645000	4650000	767	929	0	0	0.4645656146	0.0000000001	0.0000000001
1	3830000	3835000	1	4020000	4025000	766	804	0	0	0.3928957804	0.0000003355	0.0000003449
1	3835000	3840000	1	4795000	4800000	767	959	0	0	0.3190085620	0.0000194113	0.0000194695
1	3995000	4000000	1	4675000	4680000	799	935	0	0	0.3173028032	0.0000569599	0.0000569970
1	4715000	4720000	1	4885000	4890000	943	977	0	0	0.3805299881	0.0000000000	0.0000000000
1	5570000	5575000	1	5800000	5805000	1114	1160	0	0	0.6075193866	0.0000000000	0.0000000000
1	5565000	5570000	1	5975000	5980000	1113	1195	0	0	0.7029506481	0.0000000000	0.0000000000
1	5570000	5575000	1	6030000	6035000	1114	1206	0	0	0.4179663078	0.0000000000	0.0000000000
1	6055000	6060000	1	6085000	6090000	1211	1217	0	0	0.5102575754	0.0000000000	0.0000000000
1	6055000	6060000	1	6255000	6260000	1211	1251	0	0	0.3399893840	0.0000000021	0.0000000028
1	6105000	6110000	1	6240000	6245000	1221	1248	0	0	0.3784744256	0.0000000000	0.0000000000
1	6115000	6120000	1	6400000	6405000	1223	1280	0	0	0.3277624541	0.0000000086	0.0000000104
1	6165000	6170000	1	6235000	6240000	1233	1247	0	0	0.4056450045	0.0000000000	0.0000000000
1	6165000	6170000	1	6300000	6305000	1233	1260	0	0	0.4175058037	0.0000000000	0.0000000000
1	6180000	6185000	1	6390000	6395000	1236	1278	0	0	0.3693851656	0.0000000001	0.0000000001
1	6265000	6270000	1	6290000	6295000	1253	1258	0	0	0.6780170416	0.0000000000	0.0000000000
1	6310000	6315000	1	6400000	6405000	1262	1280	0	0	0.7699097774	0.0000000000	0.0000000000
1	6305000	6310000	1	6465000	6470000	1261	1293	0	0	0.7351285097	0.0000000000	0.0000000000
1	6410000	6415000	1	6465000	6470000	1282	1293	0	0	0.7129116850	0.0000000000	0.0000000000
1	6530000	6535000	1	7270000	7275000	1306	1454	0	0	0.3510502622	0.0000000006	0.0000000008
1	6545000	6550000	1	6705000	6710000	1309	1341	0	0	0.7257922204	0.0000000000	0.0000000000
1	6555000	6560000	1	6590000	6595000	1311	1318	0	0	0.3878422654	0.0000000002	0.0000000003
1	6570000	6575000	1	7270000	7275000	1314	1454	0	0	0.3363101039	0.0000000033	0.0000000042
1	6610000	6615000	1	6700000	6705000	1322	1340	0	0	0.4705122081	0.0000000000	0.0000000000
1	6695000	6700000	1	6740000	6745000	1339	1348	0	0	0.4832429676	0.0000000000	0.0000000000
1	6780000	6785000	1	6840000	6845000	1356	1368	0	0	0.6069092521	0.0000000000	0.0000000000
1	6780000	6785000	1	7275000	7280000	1356	1455	0	0	0.6824423741	0.0000000000	0.0000000000
1	6785000	6790000	1	6950000	6955000	1357	1390	0	0	0.7708748369	0.0000000000	0.0000000000
1	6780000	6785000	1	7130000	7135000	1356	1426	0	0	0.7572645028	0.0000000000	0.0000000000
1	6780000	6785000	1	7705000	7710000	1356	1541	0	0	0.5855620088	0.0000000000	0.0000000000
1	6780000	6785000	1	7020000	7025000	1356	1404	0	0	0.4178264686	0.0000000000	0.0000000000
1	6780000	6785000	1	7065000	7070000	1356	1413	0	0	0.3283081191	0.0000000081	0.0000000099
1	6855000	6860000	1	6945000	6950000	1371	1389	0	0	0.7483413480	0.0000000000	0.0000000000
1	6855000	6860000	1	7130000	7135000	1371	1426	0	0	0.5488455077	0.0000000000	0.0000000000
1	6850000	6855000	1	7270000	7275000	1370	1454	0	0	0.3533768934	0.0000000004	0.0000000006
1	6855000	6860000	1	7705000	7710000	1371	1541	0	0	0.5108222229	0.0000000000	0.0000000000
1	6975000	6980000	1	7125000	7130000	1395	1425	0	0	0.3973738533	0.0000000000	0.0000000000
1	7100000	7105000	1	7700000	7705000	1420	1540	0	0	0.5838187294	0.0000000000	0.0000000000
1	7105000	7110000	1	7270000	7275000	1421	1454	0	0	0.3417949372	0.0000000017	0.0000000023
1	7515000	7520000	1	7690000	7695000	1503	1538	0	0	0.3203148681	0.0000000518	0.0000000563
1	7725000	7730000	1	7810000	7815000	1545	1562	0	0	0.7970161785	0.0000000000	0.0000000000
1	7730000	7735000	1	7960000	7965000	1546	1592	0	0	0.7787794422	0.0000000000	0.0000000000
1	7725000	7730000	1	8390000	8395000	1545	1678	0	0	0.4467620559	0.0000000000	0.0000000000
1	7730000	7735000	1	8075000	8080000	1546	1615	0	0	0.4378227368	0.0000000000	0.0000000000
1	7810000	7815000	1	7960000	7965000	1562	1592	0	0	0.3989009378	0.0000000000	0.0000000000
1	7865000	7870000	1	7965000	7970000	1573	1593	0	0	0.5815264216	0.0000000000	0.0000000000
1	7865000	7870000	1	8405000	8410000	1573	1681	0	0	0.3458066882	0.0000000011	0.0000000014
1	8040000	8045000	1	8075000	8080000	1608	1615	0	0	0.6799990681	0.0000000000	0.0000000000
1	8035000	8040000	1	8405000	8410000	1607	1681	0	0	0.3185719029	0.0000000238	0.0000000271
1	8060000	8065000	1	8795000	8800000	1612	1759	0	0	0.3271122942	0.0000000093	0.0000000112
1	8080000	8085000	1	8375000	8380000	1616	1675	0	0	0.6596116366	0.0000000000	0.0000000000
1	8090000	8095000	1	8290000	8295000	1618	1658	0	0	0.3982420334	0.0000000000	0.0000000000
1	8375000	8380000	1	8410000	8415000	1675	1682	0	0	0.3133369724	0.0000004814	0.0000004930
1	8425000	8430000	1	8905000	8910000	1685	1781	0	0	0.4000562267	0.0000000000	0.0000000000
1	8430000	8435000	1	8785000	8790000	1686	1757	0	0	0.3854705657	0.0000000000	0.0000000000
1	8440000	8445000	1	8475000	8480000	1688	1695	0	0	0.3282511983	0.0000001212	0.0000001267
1	8475000	8480000	1	8595000	8600000	1695	1719	0	0	0.4181622046	0.0000000000	0.0000000000
1	8480000	8485000	1	8780000	8785000	1696	1756	0	0	0.3756123506	0.0000000000	0.0000000000
1	8465000	8470000	1	8910000	8915000	1693	1782	0	0	0.3419787310	0.0000000017	0.0000000022
1	8485000	8490000	1	8535000	8540000	1697	1707	0	0	0.3604712286	0.0000000008	0.0000000011
1	8535000	8540000	1	8785000	8790000	1707	1757	0	0	0.3444754585	0.0000000012	0.0000000017
1	8620000	8625000	1	8905000	8910000	1724	1781	0	0	0.7160509374	0.0000000000	0.0000000000
1	8615000	8620000	1	8780000	8785000	1723	1756	0	0	0.7644089655	0.0000000000	0.0000000000
1	8785000	8790000	1	8905000	8910000	1757	1781	0	0	0.4752084040	0.0000000000	0.0000000000
1	8875000	8880000	1	8910000	8915000	1775	1782	0	0	0.3669507779	0.0000000023	0.0000000030
1	8975000	8980000	1	9160000	9165000	1795	1832	0	0	0.7068051853	0.0000000000	0.0000000000
1	8975000	8980000	1	9260000	9265000	1795	1852	0	0	0.5159584473	0.0000000000	0.0000000000
1	8975000	8980000	1	9050000	9055000	1795	1810	0	0	0.7779134237	0.0000000000	0.0000000000
1	8980000	8985000	1	9315000	9320000	1796	1863	0	0	0.4063058492	0.0000000000	0.0000000000
1	8990000	8995000	1	9525000	9530000	1798	1905	0	0	0.3090393073	0.0000000656	0.0000000703
1	9020000	9025000	1	9160000	9165000	1804	1832	0	0	0.3236689844	0.0000000136	0.0000000160
1	9070000	9075000	1	9160000	9165000	1814	1832	0	0	0.8172465179	0.0000000000	0.0000000000
1	9065000	9070000	1	9260000	9265000	1813	1852	0	0	0.5415926698	0.0000000000	0.0000000000
1	9075000	9080000	1	9100000	9105000	1815	1820	0	0	0.3510015643	0.0000000541	0.0000000587
1	9170000	9175000	1	9255000	9260000	1834	1851	0	0	0.7942870284	0.0000000000	0.0000000000
1	9170000	9175000	1	9545000	9550000	1834	1909	0	0	0.5139057476	0.0000000000	0.0000000000
1	9165000	9170000	1	9425000	9430000	1833	1885	0	0	0.3232397905	0.0000000143	0.0000000168
1	9165000	9170000	1	9490000	9495000	1833	1898	0	0	0.3019560622	0.0000001358	0.0000001415
1	9305000	9310000	1	9335000	9340000	1861	1867	0	0	0.3485283298	0.0000000322	0.0000000360
1	9330000	9335000	1	9635000	9640000	1866	1927	0	0	0.5708779815	0.0000000000	0.0000000000
1	9340000	9345000	1	9545000	9550000	1868	1909	0	0	0.6357529838	0.0000000000	0.0000000000
1	9330000	9335000	1	9910000	9915000	1866	1982	0	0	0.3347924921	0.0000000039	0.0000000049
1	9505000	9510000	1	9545000	9550000	1901	1909	0	0	0.3265039884	0.0000000839	0.0000000890
1	9555000	9560000	1	9630000	9635000	1911	1926	0	0	0.7607210100	0.0000000000	0.0000000000
1	9560000	9565000	1	9930000	9935000	1912	1986	0	0	0.3853893325	0.0000000000	0.0000000000
1	9670000	9675000	1	9925000	9930000	1934	1985	0	0	0.6700599674	0.0000000000	0.0000000000
1	9660000	9665000	1	9995000	10000000	1932	1999	0	0	0.3329778200	0.0000000048	0.0000000060
1	9665000	9670000	1	10085000	10090000	1933	2017	0	0	0.3960076759	0.0000000000	0.0000000000
1	9655000	9660000	1	10190000	10195000	1931	2038	0	0	0.3228788728	0.0000000149	0.0000000174
1	9660000	9665000	1	10475000	10480000	1932	2095	0	0	0.3327534354	0.0000000049	0.0000000061
1	9680000	9685000	1	9780000	9785000	1936	1956	0	0	0.5519447856	0.0000000000	0.0000000000
1	9670000	9675000	1	9835000	9840000	1934	1967	0	0	0.3655916085	0.0000000001	0.0000000001
1	9840000	9845000	1	9925000	9930000	1968	1985	0	0	0.7822625954	0.0000000000	0.0000000000
1	9785000	9790000	1	10480000	10485000	1957	2096	0	0	0.3884162514	0.0000000000	0.0000000000
1	9785000	9790000	1	9825000	9830000	1957	1965	0	0	0.4137908254	0.0000000000	0.0000000000
1	9780000	9785000	1	9990000	9995000	1956	1998	0	0	0.3098821940	0.0000000600	0.0000000647
1	9885000	9890000	1	10760000	10765000	1977	2152	0	0	0.3550055925	0.0000000003	0.0000000005
1	9935000	9940000	1	10480000	10485000	1987	2096	0	0	0.7191260886	0.0000000000	0.0000000000
1	9935000	9940000	1	9995000	10000000	1987	1999	0	0	0.6944291581	0.0000000000	0.0000000000
1	9940000	9945000	1	10090000	10095000	1988	2018	0	0	0.7061874890	0.0000000000	0.0000000000
1	9940000	9945000	1	10205000	10210000	1988	2041	0	0	0.3710512093	0.0000000000	0.0000000001
1	9940000	9945000	1	10400000	10405000	1988	2080	0	0	0.4326531051	0.0000000000	0.0000000000
1	9935000	9940000	1	10545000	10550000	1987	2109	0	0	0.3530030027	0.0000000004	0.0000000006
1	9940000	9945000	1	10150000	10155000	1988	2030	0	0	0.3075095378	0.0000000769	0.0000000819
1	10005000	10010000	1	10480000	10485000	2001	2096	0	0	0.5429006624	0.0000000000	0.0000000000
1	10010000	10015000	1	10085000	10090000	2002	2017	0	0	0.6550437940	0.0000000000	0.0000000000
1	10090000	10095000	1	10480000	10485000	2018	2096	0	0	0.3549233650	0.0000000003	0.0000000005
1	10110000	10115000	1	10165000	10170000	2022	2033	0	0	0.3683614324	0.0000000002	0.0000000003
1	10115000	10120000	1	10395000	10400000	2023	2079	0	0	0.3114631175	0.0000000509	0.0000000553
1	10195000	10200000	1	10400000	10405000	2039	2080	0	0	0.4006216423	0.0000000000	0.0000000000
1	10180000	10185000	1	10475000	10480000	2036	2095	0	0	0.3695379791	0.0000000001	0.0000000001
1	10265000	10270000	1	10400000	10405000	2053	2080	0	0	0.4894858109	0.0000000000	0.0000000000
1	10265000	10270000	1	10480000	10485000	2053	2096	0	0	0.5472012281	0.0000000000	0.0000000000
1	10435000	10440000	1	10480000	10485000	2087	2096	0	0	0.7166342597	0.0000000000	0.0000000000
1	10435000	10440000	1	10550000	10555000	2087	2110	0	0	0.4984324887	0.0000000000	0.0000000000
1	10490000	10495000	1	10545000	10550000	2098	2109	0	0	0.7083586293	0.0000000000	0.0000000000
1	10490000	10495000	1	10925000	10930000	2098	2185	0	0	0.4909758593	0.0000000000	0.0000000000
1	10490000	10495000	1	11010000	11015000	2098	2202	0	0	0.3170605895	0.0000000280	0.0000000316
1	10565000	10570000	1	10925000	10930000	2113	2185	0	0	0.6621969537	0.0000000000	0.0000000000
1	10565000	10570000	1	10750000	10755000	2113	2150	0	0	0.5828636125	0.0000000000	0.0000000000
1	10565000	10570000	1	11015000	11020000	2113	2203	0	0	0.6240679310	0.0000000000	0.0000000000
1	10565000	10570000	1	11070000	11075000	2113	2214	0	0	0.3957034631	0.0000000000	0.0000000000
1	10575000	10580000	1	10685000	10690000	2115	2137	0	0	0.4286501738	0.0000000000	0.0000000000
1	10575000	10580000	1	10850000	10855000	2115	2170	0	0	0.3123782300	0.0000000462	0.0000000505
1	10580000	10585000	1	10640000	10645000	2116	2128	0	0	0.3293853058	0.0000000132	0.0000000155
1	10755000	10760000	1	10925000	10930000	2151	2185	0	0	0.3635843489	0.0000000001	0.0000000002
1	10925000	10930000	1	11005000	11010000	2185	2201	0	0	0.3236900067	0.0000000136	0.0000000160
1	11025000	11030000	1	11065000	11070000	2205	2213	0	0	0.5508090010	0.0000000000	0.0000000000
1	11095000	11100000	1	11700000	11705000	2219	2340	0	0	0.7447772932	0.0000000000	0.0000000000
1	11100000	11105000	1	11310000	11315000	2220	2262	0	0	0.5570844541	0.0000000000	0.0000000000
1	11100000	11105000	1	11175000	11180000	2220	2235	0	0	0.3640756803	0.0000000001	0.0000000002
1	11100000	11105000	1	11400000	11405000	2220	2280	0	0	0.4623910881	0.0000000000	0.0000000000
1	11100000	11105000	1	11535000	11540000	2220	2307	0	0	0.3805067290	0.0000000000	0.0000000000
1	11100000	11105000	1	11780000	11785000	2220	2356	0	0	0.4798668165	0.0000000000	0.0000000000
1	11095000	11100000	1	11230000	11235000	2219	2246	0	0	0.3072020144	0.0000000793	0.0000000844
1	11100000	11105000	1	11480000	11485000	2220	2296	0	0	0.3554560044	0.0000000003	0.0000000005
1	11300000	11305000	1	11700000	11705000	2260	2340	0	0	0.7385263391	0.0000000000	0.0000000000
1	11300000	11305000	1	11780000	11785000	2260	2356	0	0	0.3581573677	0.0000000002	0.0000000003
1	11390000	11395000	1	11700000	11705000	2278	2340	0	0	0.6115896063	0.0000000000	0.0000000000
1	11355000	11360000	1	11375000	11380000	2271	2275	0	0	0.3310912279	0.0000006977	0.0000007118
1	11365000	11370000	1	11775000	11780000	2273	2355	0	0	0.3340817438	0.0000000042	0.0000000053
1	11535000	11540000	1	11695000	11700000	2307	2339	0	0	0.4305531941	0.0000000000	0.0000000000
1	11520000	11525000	1	12015000	12020000	2304	2403	0	0	0.3123638257	0.0000000462	0.0000000506
1	11530000	11535000	1	11770000	11775000	2306	2354	0	0	0.3972370013	0.0000000000	0.0000000000
1	11530000	11535000	1	11935000	11940000	2306	2387	0	0	0.3308258389	0.0000000061	0.0000000075
1	11585000	11590000	1	11940000	11945000	2317	2388	0	0	0.4186278892	0.0000000000	0.0000000000
1	11605000	11610000	1	11675000	11680000	2321	2335	0	0	0.3052976350	0.0000001127	0.0000001181
1	11715000	11720000	1	11780000	11785000	2343	2356	0	0	0.7784643447	0.0000000000	0.0000000000
1	11720000	11725000	1	11955000	11960000	2344	2391	0	0	0.3855723463	0.0000000000	0.0000000000
1	11725000	11730000	1	11855000	11860000	2345	2371	0	0	0.3234345979	0.0000000140	0.0000000164
1	11725000	11730000	1	12150000	12155000	2345	2430	0	0	0.3502234519	0.0000000006	0.0000000009
1	11805000	11810000	1	11850000	11855000	2361	2370	0	0	0.4346759441	0.0000000000	0.0000000000
1	11830000	11835000	1	11950000	11955000	2366	2390	0	0	0.4180393694	0.0000000000	0.0000000000
1	11895000	11900000	1	11955000	11960000	2379	2391	0	0	0.8366497621	0.0000000000	0.0000000000
1	11895000	11900000	1	12025000	12030000	2379	2405	0	0	0.7251380412	0.0000000000	0.0000000000
1	11895000	11900000	1	12085000	12090000	2379	2417	0	0	0.3589146049	0.0000000002	0.0000000003
1	11890000	11895000	1	12155000	12160000	2378	2431	0	0	0.4133189781	0.0000000000	0.0000000000
1	11895000	11900000	1	12275000	12280000	2379	2455	0	0	0.3814049753	0.0000000000	0.0000000000
1	11975000	11980000	1	12140000	12145000	2395	2428	0	0	0.5305720654	0.0000000000	0.0000000000
1	11985000	11990000	1	12270000	12275000	2397	2454	0	0	0.3482981224	0.0000000008	0.0000000011
1	12065000	12070000	1	12265000	12270000	2413	2453	0	0	0.4708960794	0.0000000000	0.0000000000
1	12050000	12055000	1	12080000	12085000	2410	2416	0	0	0.3812554969	0.0000000010	0.0000000014
1	12065000	12070000	1	12140000	12145000	2413	2428	0	0	0.6638368935	0.0000000000	0.0000000000
1	12095000	12100000	1	12500000	12505000	2419	2500	0	0	0.3605170488	0.0000000002	0.0000000003
1	12180000	12185000	1	12265000	12270000	2436	2453	0	0	0.8792859535	0.0000000000	0.0000000000
1	12180000	12185000	1	12675000	12680000	2436	2535	0	0	0.5984952765	0.0000000000	0.0000000000
1	12180000	12185000	1	12340000	12345000	2436	2468	0	0	0.3698402500	0.0000000001	0.0000000001
1	12170000	12175000	1	12425000	12430000	2434	2485	0	0	0.3111005843	0.0000000528	0.0000000574
1	12190000	12195000	1	12500000	12505000	2438	2500	0	0	0.3736765833	0.0000000000	0.0000000001
1	12370000	12375000	1	12680000	12685000	2474	2536	0	0	0.5787312850	0.0000000000	0.0000000000
1	12355000	12360000	1	12515000	12520000	2471	2503	0	0	0.3409631977	0.0000000019	0.0000000025
1	12470000	12475000	1	12675000	12680000	2494	2535	0	0	0.4252026654	0.0000000000	0.0000000000
1	13790000	13795000	1	14290000	14295000	2758	2858	0	0	0.3194423808	0.0000026909	0.0000027207
1	13840000	13845000	1	14285000	14290000	2768	2857	0	0	0.3291763381	0.0000000074	0.0000000090
1	13985000	13990000	1	14285000	14290000	2797	2857	0	0	0.6048855500	0.0000000000	0.0000000000
1	13990000	13995000	1	14135000	14140000	2798	2827	0	0	0.7373103904	0.0000000000	0.0000000000
1	13995000	14000000	1	14075000	14080000	2799	2815	0	0	0.3676768022	0.0000000001	0.0000000001
1	14085000	14090000	1	14120000	14125000	2817	2824	0	0	0.4020117149	0.0000000000	0.0000000001
1	14155000	14160000	1	14285000	14290000	2831	2857	0	0	0.7791932449	0.0000000000	0.0000000000
1	14430000	14435000	1	14895000	14900000	2886	2979	0	0	0.4876427247	0.0000000000	0.0000000000
1	14425000	14430000	1	15375000	15380000	2885	3075	0	0	0.4262911162	0.0000000000	0.0000000000
1	14715000	14720000	1	14895000	14900000	2943	2979	0	0	0.3515583645	0.0000000017	0.0000000023
1	14925000	14930000	1	15425000	15430000	2985	3085	0	0	0.3647949831	0.0000000001	0.0000000002
1	14930000	14935000	1	15355000	15360000	2986	3071	0	0	0.3292117897	0.0000000073	0.0000000090
1	15105000	15110000	1	15365000	15370000	3021	3073	0	0	0.5486905781	0.0000000000	0.0000000000
1	15110000	15115000	1	15425000	15430000	3022	3085	0	0	0.3660665258	0.0000000001	0.0000000001
1	15375000	15380000	1	15625000	15630000	3075	3125	0	0	0.3187630485	0.0000000233	0.0000000266
1	15450000	15455000	1	15755000	15760000	3090	3151	0	0	0.6036350009	0.0000000000	0.0000000000
1	15455000	15460000	1	15600000	15605000	3091	3120	0	0	0.6871724071	0.0000000000	0.0000000000
1	15455000	15460000	1	15820000	15825000	3091	3164	0	0	0.3806513448	0.0000000000	0.0000000000
1	15650000	15655000	1	15755000	15760000	3130	3151	0	0	0.9110031662	0.0000000000	0.0000000000
1	15650000	15655000	1	15825000	15830000	3130	3165	0	0	0.5065041891	0.0000000000	0.0000000000
1	15650000	15655000	1	16065000	16070000	3130	3213	0	0	0.5185322139	0.0000000000	0.0000000000
1	15655000	15660000	1	15985000	15990000	3131	3197	0	0	0.3941658650	0.0000000000	0.0000000000
1	15780000	15785000	1	15825000	15830000	3156	3165	0	0	0.4819218385	0.0000000000	0.0000000000
1	15775000	15780000	1	16065000	16070000	3155	3213	0	0	0.3377878160	0.0000000027	0.0000000035
1	15860000	15865000	1	15895000	15900000	3172	3179	0	0	0.5081027643	0.0000000000	0.0000000000
1	15870000	15875000	1	16065000	16070000	3174	3213	0	0	0.5294732742	0.0000000000	0.0000000000
1	15860000	15865000	1	15990000	15995000	3172	3198	0	0	0.3165077574	0.0000000297	0.0000000334
1	15970000	15975000	1	16060000	16065000	3194	3212	0	0	0.5524182976	0.0000000000	0.0000000000
1	16120000	16125000	1	16375000	16380000	3224	3275	0	0	0.6753710928	0.0000000000	0.0000000000
1	16115000	16120000	1	16515000	16520000	3223	3303	0	0	0.4329941298	0.0000000000	0.0000000000
1	16135000	16140000	1	16260000	16265000	3227	3252	0	0	0.4853271053	0.0000000000	0.0000000000
1	16170000	16175000	1	16695000	16700000	3234	3339	0	0	0.3183764645	0.0000000243	0.0000000276
1	16260000	16265000	1	16320000	16325000	3252	3264	0	0	0.3780468001	0.0000000000	0.0000000001
1	16260000	16265000	1	16375000	16380000	3252	3275	0	0	0.3625644699	0.0000000001	0.0000000002
1	16335000	16340000	1	16380000	16385000	3267	3276	0	0	0.6687828163	0.0000000000	0.0000000000
1	16335000	16340000	1	16515000	16520000	3267	3303	0	0	0.3926462936	0.0000000000	0.0000000000
1	16405000	16410000	1	16510000	16515000	3281	3302	0	0	0.8896798779	0.0000000000	0.0000000000
