BIN1_CHR	BIN1_START	BIN1_END	BIN2_CHROMOSOME	BIN2_START	BIN2_END	FDR	DETECTION_SCALE
chr1	2380000	2385000	chr1	3420000	3425000	0.1623348285889128	2.111212657236631
chr1	2410000	2415000	chr1	2540000	2545000	0.0037993853287801712	3.2
chr1	2410000	2415000	chr1	3620000	3625000	0.17080910125553314	2.599207668339954
chr1	2415000	2420000	chr1	2640000	2645000	0.010976884840213192	2.111212657236631
chr1	2415000	2420000	chr1	3420000	3425000	0.00035455819330759697	2.111212657236631
chr1	2415000	2420000	chr1	2785000	2790000	0.0006233812827931245	2.111212657236631
chr1	2540000	2545000	chr1	3425000	3430000	0.04650548905080055	3.2
chr1	2605000	2610000	chr1	3430000	3435000	0.010833083499806544	2.599207668339954
chr1	2645000	2650000	chr1	3415000	3420000	0.05454554024039239	2.599207668339954
chr1	2810000	2815000	chr1	3410000	3415000	0.03268143830509466	3.6758347359905126
chr1	2865000	2870000	chr1	4000000	4005000	0.11797163173548161	2.111212657236631
chr1	2920000	2925000	chr1	4320000	4325000	0.17689433941079621	2.111212657236631
chr1	3450000	3455000	chr1	3615000	3620000	0.006625303294285907	2.111212657236631
chr1	3490000	3495000	chr1	3720000	3725000	0.09027967912681335	4.525483399593905
chr1	3490000	3495000	chr1	3615000	3620000	0.0003450775124659199	2.111212657236631
chr1	3560000	3565000	chr1	3615000	3620000	0.00035455819330759697	2.111212657236631
chr1	3565000	3570000	chr1	3720000	3725000	0.016216230103400068	2.111212657236631
chr1	3630000	3635000	chr1	3720000	3725000	0.008292816910546875	3.2
chr1	3780000	3785000	chr1	3895000	3900000	0.08153163378699561	3.2
chr1	3910000	3915000	chr1	4655000	4660000	0.02965468661711239	2.111212657236631
chr1	3910000	3915000	chr1	4825000	4830000	0.0010021303859001158	2.111212657236631
chr1	3910000	3915000	chr1	5745000	5750000	0.0018697944148509317	2.111212657236631
chr1	4095000	4100000	chr1	5600000	5605000	0.030610000662061584	2.111212657236631
chr1	4185000	4190000	chr1	5460000	5465000	0.08121380558302294	2.111212657236631
chr1	4655000	4660000	chr1	4825000	4830000	0.010833083499806544	3.2
chr1	5510000	5515000	chr1	5745000	5750000	0.0020756153050493363	2.599207668339954
chr1	5505000	5510000	chr1	5915000	5920000	0.0004029805610049805	3.2
chr1	5510000	5515000	chr1	5970000	5975000	0.0258248360479094	2.599207668339954
chr1	5790000	5795000	chr1	7050000	7055000	0.15393286643772153	2.111212657236631
chr1	5790000	5795000	chr1	7500000	7505000	0.09854401343880205	2.111212657236631
chr1	5830000	5835000	chr1	7615000	7620000	0.17012886627661844	2.111212657236631
chr1	5845000	5850000	chr1	7250000	7255000	0.19934693958155986	2.599207668339954
chr1	6250000	6255000	chr1	6340000	6345000	8.317838833962754e-05	3.2
chr1	6245000	6250000	chr1	6435000	6440000	0.002958891765270118	2.111212657236631
chr1	6245000	6250000	chr1	6465000	6470000	0.015627974613489505	3.6758347359905126
chr1	6250000	6255000	chr1	6400000	6405000	8.812817837101916e-05	2.599207668339954
chr1	6350000	6355000	chr1	6400000	6405000	3.879908050918868e-05	2.111212657236631
chr1	6485000	6490000	chr1	6640000	6645000	0.005275046666772253	2.599207668339954
chr1	6485000	6490000	chr1	7215000	7220000	0.053326879719453754	2.599207668339954
chr1	6660000	6665000	chr1	7610000	7615000	0.07262612004311825	2.111212657236631
chr1	6715000	6720000	chr1	7215000	7220000	0.0004029805610049805	2.111212657236631
chr1	6720000	6725000	chr1	6890000	6895000	0.010833083499806544	2.111212657236631
chr1	6720000	6725000	chr1	6960000	6965000	0.11797163173548161	3.6758347359905126
chr1	6720000	6725000	chr1	7005000	7010000	0.06397065600248139	2.111212657236631
chr1	6720000	6725000	chr1	7065000	7070000	8.812817837101916e-05	3.2
chr1	6720000	6725000	chr1	7640000	7645000	0.0004029805610049805	2.599207668339954
chr1	6720000	6725000	chr1	7755000	7760000	0.05808515704814887	2.111212657236631
chr1	6760000	6765000	chr1	7640000	7645000	0.1807320255227079	2.111212657236631
chr1	6780000	6785000	chr1	7950000	7955000	0.17885829652844018	2.111212657236631
chr1	6795000	6800000	chr1	6885000	6890000	0.001025843293922195	3.2
chr1	6790000	6795000	chr1	7210000	7215000	0.06100429797591425	2.111212657236631
chr1	6790000	6795000	chr1	7775000	7780000	0.053326879719453754	2.111212657236631
chr1	6795000	6800000	chr1	7070000	7075000	0.004021894157039689	2.111212657236631
chr1	6795000	6800000	chr1	7650000	7655000	0.010267033155283092	3.2
chr1	6865000	6870000	chr1	7765000	7770000	0.07556937802895111	2.111212657236631
chr1	6925000	6930000	chr1	7640000	7645000	0.09457046141698908	2.599207668339954
chr1	7010000	7015000	chr1	7645000	7650000	0.11618046900515624	2.111212657236631
chr1	7040000	7045000	chr1	7640000	7645000	0.002958891765270118	2.599207668339954
chr1	7220000	7225000	chr1	7635000	7640000	0.1068650233549135	3.6758347359905126
chr1	7665000	7670000	chr1	7750000	7755000	0.0018697944148509317	2.111212657236631
chr1	7665000	7670000	chr1	7900000	7905000	0.0020756153050493363	2.111212657236631
chr1	7810000	7815000	chr1	7900000	7905000	0.09854401343880205	2.111212657236631
chr1	7970000	7975000	chr1	8860000	8865000	0.034072097796083944	3.6758347359905126
chr1	7975000	7980000	chr1	8015000	8020000	0.18804709717307475	2.111212657236631
chr1	7975000	7980000	chr1	8315000	8320000	0.07262612004311825	2.111212657236631
chr1	7975000	7980000	chr1	8350000	8355000	0.001371787776030606	2.111212657236631
chr1	8005000	8010000	chr1	8335000	8340000	8.812817837101916e-05	6.4
chr1	8010000	8015000	chr1	8840000	8845000	0.0815097490544551	2.111212657236631
chr1	8025000	8030000	chr1	8725000	8730000	0.03431769706176629	2.599207668339954
chr1	8020000	8025000	chr1	8310000	8315000	0.0003768609609172913	2.111212657236631
chr1	8025000	8030000	chr1	9235000	9240000	0.09119973651054407	2.111212657236631
chr1	8375000	8380000	chr1	8845000	8850000	0.01592551443780726	5.571523605095194
chr1	8400000	8405000	chr1	8850000	8855000	0.07262612004311825	4.525483399593905
chr1	8560000	8565000	chr1	8670000	8675000	0.005275046666772253	2.111212657236631
chr1	8560000	8565000	chr1	8710000	8715000	0.015627974613489505	5.198415336679908
chr1	8565000	8570000	chr1	8845000	8850000	0.02965468661711239	3.2
chr1	8725000	8730000	chr1	8850000	8855000	0.1518880176746575	2.599207668339954
chr1	8915000	8920000	chr1	8990000	8995000	0.009903530781875485	2.599207668339954
chr1	8920000	8925000	chr1	9100000	9105000	0.07564264510599468	2.599207668339954
chr1	9005000	9010000	chr1	9100000	9105000	0.00526356831633482	2.111212657236631
chr1	9105000	9110000	chr1	9480000	9485000	0.10934045626115343	3.2
chr1	9115000	9120000	chr1	9190000	9195000	0.0026678500106957605	3.2
chr1	9270000	9275000	chr1	9575000	9580000	0.02251408974232138	5.198415336679908
chr1	9280000	9285000	chr1	9490000	9495000	0.00043159159421038575	2.599207668339954
chr1	9285000	9290000	chr1	9460000	9465000	0.0004995897698951923	3.6758347359905126
chr1	9495000	9500000	chr1	9570000	9575000	0.0258248360479094	2.599207668339954
chr1	9610000	9615000	chr1	9865000	9870000	0.010833083499806544	3.6758347359905126
chr1	9615000	9620000	chr1	9715000	9720000	0.06600285090244658	5.198415336679908
chr1	9730000	9735000	chr1	9860000	9865000	0.030975121773125003	3.2
chr1	9780000	9785000	chr1	9865000	9870000	0.001025843293922195	2.111212657236631
chr1	9875000	9880000	chr1	9940000	9945000	0.02595092067724458	2.111212657236631
chr1	9045000	9050000	chr1	10000000	10005000	0.19134544888670127	2.111212657236631
chr1	9235000	9240000	chr1	10980000	10985000	0.19134544888670127	2.111212657236631
chr1	9310000	9315000	chr1	10815000	10820000	0.13792764868020688	2.111212657236631
chr1	9340000	9345000	chr1	10665000	10670000	0.09738846180818966	2.599207668339954
chr1	9505000	9510000	chr1	10420000	10425000	0.1339119422266056	2.599207668339954
chr1	9590000	9595000	chr1	11265000	11270000	0.1867017576354863	2.111212657236631
chr1	9595000	9600000	chr1	10410000	10415000	0.04913406528067819	2.111212657236631
chr1	9605000	9610000	chr1	10355000	10360000	0.13792764868020688	3.2
chr1	9685000	9690000	chr1	11260000	11265000	0.19466945122107307	2.111212657236631
chr1	9725000	9730000	chr1	10420000	10425000	0.015435832246502367	2.599207668339954
chr1	9775000	9780000	chr1	10415000	10420000	0.19134544888670127	4.222425314473262
chr1	9825000	9830000	chr1	10695000	10700000	0.08451600292558176	2.111212657236631
chr1	9875000	9880000	chr1	10025000	10030000	0.06603059094293041	2.111212657236631
chr1	9875000	9880000	chr1	10345000	10350000	0.10869098806964637	2.599207668339954
chr1	9875000	9880000	chr1	10420000	10425000	6.1907099772694e-05	2.111212657236631
chr1	9880000	9885000	chr1	10485000	10490000	0.05587023598910793	2.599207668339954
chr1	9940000	9945000	chr1	10425000	10430000	0.023616955747656473	2.111212657236631
chr1	9950000	9955000	chr1	10025000	10030000	0.05932385859345538	2.111212657236631
chr1	10140000	10145000	chr1	11185000	11190000	0.15425522924656576	2.111212657236631
chr1	10175000	10180000	chr1	11650000	11655000	0.1426685531018956	2.111212657236631
chr1	10375000	10380000	chr1	10420000	10425000	0.00593733621618967	2.111212657236631
chr1	10375000	10380000	chr1	10490000	10495000	0.14910808680398954	2.111212657236631
chr1	10430000	10435000	chr1	10490000	10495000	0.0019438472135556036	2.111212657236631
chr1	10425000	10430000	chr1	11645000	11650000	0.011711219880114927	2.111212657236631
chr1	10430000	10435000	chr1	10865000	10870000	0.1339119422266056	2.599207668339954
chr1	10435000	10440000	chr1	11690000	11695000	0.14682101457149452	2.111212657236631
chr1	10500000	10505000	chr1	11640000	11645000	0.029257414817346467	2.111212657236631
chr1	10500000	10505000	chr1	10905000	10910000	0.12838886052776366	2.111212657236631
chr1	10505000	10510000	chr1	10685000	10690000	0.03235835703272737	2.599207668339954
chr1	10505000	10510000	chr1	10865000	10870000	8.882941899250352e-05	2.599207668339954
chr1	10505000	10510000	chr1	10950000	10955000	0.0005796168759113451	3.2
chr1	10505000	10510000	chr1	11015000	11020000	0.07446435756690875	2.111212657236631
chr1	10515000	10520000	chr1	10630000	10635000	0.18154200868155024	4.222425314473262
chr1	10530000	10535000	chr1	11635000	11640000	0.1867017576354863	2.599207668339954
chr1	10595000	10600000	chr1	11745000	11750000	0.0845197787292377	2.111212657236631
chr1	10740000	10745000	chr1	11705000	11710000	0.13059387005766473	2.111212657236631
chr1	10750000	10755000	chr1	11620000	11625000	0.12689926367211743	2.111212657236631
chr1	10780000	10785000	chr1	11690000	11695000	0.17129435061979809	2.111212657236631
chr1	10790000	10795000	chr1	11570000	11575000	0.19491112585785017	2.111212657236631
chr1	10820000	10825000	chr1	11620000	11625000	0.19134544888670127	2.111212657236631
chr1	11035000	11040000	chr1	11240000	11245000	0.07251040158139581	3.6758347359905126
chr1	11035000	11040000	chr1	11640000	11645000	4.770288420552493e-06	2.111212657236631
chr1	11035000	11040000	chr1	11720000	11725000	0.05587023598910793	2.111212657236631
chr1	11065000	11070000	chr1	11645000	11650000	0.15153500100170275	2.111212657236631
chr1	11240000	11245000	chr1	11640000	11645000	0.0014497056005946505	2.111212657236631
chr1	11325000	11330000	chr1	11640000	11645000	0.023616955747656473	3.2
chr1	11470000	11475000	chr1	11635000	11640000	0.07491923449475003	3.2
chr1	11515000	11520000	chr1	12710000	12715000	0.14530393998846947	2.111212657236631
chr1	11655000	11660000	chr1	11720000	11725000	0.012257691774691278	2.111212657236631
chr1	11835000	11840000	chr1	11895000	11900000	0.0002614900102447759	2.111212657236631
chr1	11835000	11840000	chr1	11965000	11970000	0.022133335023320818	2.111212657236631
chr1	11915000	11920000	chr1	12075000	12080000	0.09711727619721838	2.599207668339954
chr1	12005000	12010000	chr1	12085000	12090000	0.12434715113516771	4.222425314473262
chr1	12115000	12120000	chr1	12255000	12260000	0.19509832308618383	3.2
chr1	12115000	12120000	chr1	12620000	12625000	0.07446435756690875	5.198415336679908
chr1	12120000	12125000	chr1	12210000	12215000	6.732370559132355e-07	3.6758347359905126
chr1	12120000	12125000	chr1	12655000	12660000	0.19499806191275315	2.599207668339954
chr1	12280000	12285000	chr1	12615000	12620000	0.053051100415310914	2.111212657236631
chr1	12315000	12320000	chr1	12615000	12620000	0.004517142155927122	3.2
chr1	12345000	12350000	chr1	12610000	12615000	0.09892961892397503	2.599207668339954
chr1	12425000	12430000	chr1	12610000	12615000	0.03954966663537091	3.2
chr1	12800000	12805000	chr1	13340000	13345000	0.14910808680398954	4.222425314473262
chr1	12900000	12905000	chr1	13520000	13525000	0.12221534143812914	2.111212657236631
chr1	12910000	12915000	chr1	13375000	13380000	0.07817207081398962	3.6758347359905126
chr1	12905000	12910000	chr1	13570000	13575000	0.14682101457149452	3.2
chr1	12905000	12910000	chr1	13625000	13630000	0.19039264846544068	2.111212657236631
chr1	13355000	13360000	chr1	13420000	13425000	0.029257414817346467	2.111212657236631
chr1	13355000	13360000	chr1	13960000	13965000	0.02380842611058854	2.111212657236631
chr1	13355000	13360000	chr1	14060000	14065000	0.13592129295577984	2.111212657236631
chr1	13355000	13360000	chr1	14315000	14320000	0.18301785289153275	2.111212657236631
chr1	13590000	13595000	chr1	15065000	15070000	0.14910808680398954	2.111212657236631
chr1	13660000	13665000	chr1	13810000	13815000	0.003510125375629349	2.111212657236631
chr1	13660000	13665000	chr1	13960000	13965000	0.006573251895776209	2.111212657236631
chr1	13665000	13670000	chr1	13725000	13730000	0.0025094261095078996	2.111212657236631
chr1	13665000	13670000	chr1	13755000	13760000	0.01642622455621622	2.111212657236631
chr1	13705000	13710000	chr1	13745000	13750000	0.0650986237812959	2.599207668339954
chr1	13830000	13835000	chr1	13955000	13960000	0.0012491663832101718	2.599207668339954
chr1	13960000	13965000	chr1	15045000	15050000	0.024123947366189898	3.6758347359905126
chr1	14095000	14100000	chr1	15070000	15075000	0.11383449191258481	5.571523605095194
chr1	14100000	14105000	chr1	14855000	14860000	0.17129435061979809	2.111212657236631
chr1	14190000	14195000	chr1	15065000	15070000	0.14727976379863217	2.111212657236631
chr1	14775000	14780000	chr1	15035000	15040000	0.03507623803932609	3.6758347359905126
chr1	15120000	15125000	chr1	15430000	15435000	0.029141934227254584	3.6758347359905126
chr1	15125000	15130000	chr1	15285000	15290000	2.255952732139558e-05	4.222425314473262
chr1	15125000	15130000	chr1	15305000	15310000	0.0007020059763675023	2.111212657236631
chr1	15130000	15135000	chr1	15495000	15500000	0.11758166528522712	2.599207668339954
chr1	15265000	15270000	chr1	16205000	16210000	0.18628250656642578	2.111212657236631
chr1	15320000	15325000	chr1	15500000	15505000	0.08226400886878425	3.2
chr1	15325000	15330000	chr1	15740000	15745000	0.08690907128456345	3.2
chr1	15325000	15330000	chr1	15430000	15435000	0.00027741401163755564	3.2
chr1	15475000	15480000	chr1	16050000	16055000	0.1559745245648414	2.111212657236631
chr1	15515000	15520000	chr1	17430000	17435000	0.15425522924656576	2.111212657236631
chr1	15520000	15525000	chr1	16205000	16210000	0.16874708101199054	2.111212657236631
chr1	15525000	15530000	chr1	15835000	15840000	0.17697792974154045	2.599207668339954
chr1	15525000	15530000	chr1	16365000	16370000	0.11990962514632314	2.111212657236631
chr1	15540000	15545000	chr1	15740000	15745000	0.1319434934087857	3.2
chr1	15540000	15545000	chr1	16325000	16330000	0.09699500567611498	2.599207668339954
chr1	15570000	15575000	chr1	16525000	16530000	0.04913406528067819	2.111212657236631
chr1	15585000	15590000	chr1	15735000	15740000	0.18165981102489068	2.599207668339954
chr1	15795000	15800000	chr1	16190000	16195000	0.022123099815681734	3.2
chr1	15795000	15800000	chr1	16050000	16055000	1.627676040663051e-05	3.2
chr1	15790000	15795000	chr1	16245000	16250000	0.13351351970180986	2.599207668339954
chr1	15795000	15800000	chr1	16000000	16005000	0.0004348827103706839	3.2
chr1	15795000	15800000	chr1	16030000	16035000	8.977228979534852e-05	6.4
chr1	15840000	15845000	chr1	16365000	16370000	0.19134544888670127	2.111212657236631
chr1	16005000	16010000	chr1	16055000	16060000	0.09119935661271991	2.111212657236631
chr1	16075000	16080000	chr1	16185000	16190000	0.000187413764879927	2.111212657236631
chr1	16075000	16080000	chr1	16240000	16245000	0.013176221362575298	2.111212657236631
chr1	16075000	16080000	chr1	16355000	16360000	0.175421977026239	3.2
chr1	16510000	16515000	chr1	16895000	16900000	3.5218748832832604e-07	2.111212657236631
chr1	16585000	16590000	chr1	17040000	17045000	0.04042959266666436	2.599207668339954
chr1	16580000	16585000	chr1	16940000	16945000	0.1654648841840177	3.2
chr1	16585000	16590000	chr1	17090000	17095000	0.08690907128456345	3.6758347359905126
chr1	16590000	16595000	chr1	16870000	16875000	0.011711219880114927	3.6758347359905126
chr1	16590000	16595000	chr1	17320000	17325000	0.08495961172938782	2.599207668339954
chr1	16910000	16915000	chr1	17045000	17050000	0.19039264846544068	2.599207668339954
chr1	16955000	16960000	chr1	17040000	17045000	0.0031858202172289985	2.599207668339954
chr1	17060000	17065000	chr1	17115000	17120000	0.04140303893078077	2.111212657236631
chr1	17060000	17065000	chr1	17235000	17240000	0.0028830507547766117	2.111212657236631
chr1	17060000	17065000	chr1	17335000	17340000	0.16207411477489408	2.111212657236631
chr1	17120000	17125000	chr1	17270000	17275000	0.12838886052776366	2.111212657236631
chr1	17120000	17125000	chr1	17335000	17340000	0.0007125040734327655	2.111212657236631
chr1	17125000	17130000	chr1	17235000	17240000	1.0711362030223369e-05	2.111212657236631
chr1	17420000	17425000	chr1	17485000	17490000	0.13592129295577984	2.111212657236631
chr1	17500000	17505000	chr1	17605000	17610000	0.0010586916169543002	3.2
chr1	17655000	17660000	chr1	17825000	17830000	0.11640702243955323	2.111212657236631
chr1	17435000	17440000	chr1	19310000	19315000	0.052617949829341065	2.111212657236631
chr1	17660000	17665000	chr1	18305000	18310000	0.11085658827088218	3.2
chr1	17655000	17660000	chr1	18580000	18585000	0.0015117635809255463	2.599207668339954
chr1	17660000	17665000	chr1	18100000	18105000	0.006419813949242084	3.2
chr1	17660000	17665000	chr1	18210000	18215000	0.19347460447938716	3.6758347359905126
chr1	17665000	17670000	chr1	18640000	18645000	0.10114226964074315	2.111212657236631
chr1	17695000	17700000	chr1	18795000	18800000	0.19556330954944137	2.111212657236631
chr1	17725000	17730000	chr1	18850000	18855000	0.1213549417917876	2.111212657236631
chr1	17775000	17780000	chr1	18840000	18845000	0.15622694249641797	2.111212657236631
chr1	17805000	17810000	chr1	18640000	18645000	0.19948593048527097	2.111212657236631
chr1	17920000	17925000	chr1	18300000	18305000	0.14740342866137723	2.599207668339954
chr1	17920000	17925000	chr1	18585000	18590000	0.107775641799567	2.111212657236631
chr1	17980000	17985000	chr1	18300000	18305000	0.17541892475444848	2.111212657236631
chr1	18595000	18600000	chr1	18820000	18825000	0.0004343780467288943	2.111212657236631
chr1	18595000	18600000	chr1	18870000	18875000	0.17104471723900455	2.111212657236631
chr1	18635000	18640000	chr1	19970000	19975000	0.19556330954944137	3.2
chr1	18635000	18640000	chr1	20485000	20490000	0.19347460447938716	2.111212657236631
chr1	18710000	18715000	chr1	19990000	19995000	0.16808638985550156	2.111212657236631
chr1	18760000	18765000	chr1	20255000	20260000	0.19556330954944137	2.111212657236631
chr1	18890000	18895000	chr1	19240000	19245000	0.021320989336220425	2.599207668339954
chr1	18905000	18910000	chr1	18965000	18970000	0.04947543397246308	3.6758347359905126
chr1	18905000	18910000	chr1	19085000	19090000	0.0019605243756749546	3.2
chr1	19105000	19110000	chr1	19165000	19170000	0.04222793251425523	5.198415336679908
chr1	19110000	19115000	chr1	19240000	19245000	0.19483291477633116	3.2
chr1	19160000	19165000	chr1	19240000	19245000	0.12041078815545088	2.599207668339954
chr1	19175000	19180000	chr1	19650000	19655000	0.1213549417917876	2.599207668339954
chr1	19255000	19260000	chr1	19650000	19655000	0.025899596095386588	2.111212657236631
chr1	19335000	19340000	chr1	19650000	19655000	0.010097692143456837	3.6758347359905126
chr1	19340000	19345000	chr1	19585000	19590000	0.1734770118587428	2.111212657236631
chr1	19390000	19395000	chr1	19585000	19590000	0.08666914120455382	2.111212657236631
chr1	19390000	19395000	chr1	19645000	19650000	0.19347460447938716	2.599207668339954
chr1	19445000	19450000	chr1	19585000	19590000	0.18854637625436776	2.599207668339954
chr1	19485000	19490000	chr1	19590000	19595000	0.15707806983611744	2.111212657236631
chr1	19660000	19665000	chr1	19705000	19710000	0.1909915717488649	2.111212657236631
chr1	19660000	19665000	chr1	19810000	19815000	0.14835881492750902	2.111212657236631
chr1	19885000	19890000	chr1	20490000	20495000	0.10970693356926377	2.111212657236631
chr1	19920000	19925000	chr1	20150000	20155000	0.00015352272619125043	2.599207668339954
chr1	19915000	19920000	chr1	20195000	20200000	0.006036489296692547	2.599207668339954
chr1	19915000	19920000	chr1	20495000	20500000	0.000994108029851131	2.111212657236631
chr1	19920000	19925000	chr1	20090000	20095000	0.07057983649972292	2.111212657236631
chr1	20095000	20100000	chr1	20150000	20155000	0.007680106234500068	2.111212657236631
chr1	20100000	20105000	chr1	20195000	20200000	0.11503346519842078	2.599207668339954
chr1	20160000	20165000	chr1	20490000	20495000	0.18182683029719962	2.599207668339954
chr1	20210000	20215000	chr1	20490000	20495000	0.0001289152006801797	2.111212657236631
chr1	20370000	20375000	chr1	20485000	20490000	0.1213549417917876	3.2
chr1	20520000	20525000	chr1	20635000	20640000	0.0026141818863803313	2.111212657236631
chr1	20525000	20530000	chr1	21190000	21195000	0.0775814777709448	2.111212657236631
chr1	20550000	20555000	chr1	21915000	21920000	0.1908738487615822	2.111212657236631
chr1	20555000	20560000	chr1	21600000	21605000	0.1734770118587428	2.599207668339954
chr1	20695000	20700000	chr1	21190000	21195000	4.473435084933236e-06	2.111212657236631
chr1	20695000	20700000	chr1	21365000	21370000	0.11501889246520491	3.2
chr1	20695000	20700000	chr1	21475000	21480000	0.1758639220203823	4.525483399593905
chr1	20730000	20735000	chr1	21185000	21190000	0.09242161153061992	2.599207668339954
chr1	20765000	20770000	chr1	21710000	21715000	0.11503346519842078	2.599207668339954
chr1	20780000	20785000	chr1	21185000	21190000	0.10970693356926377	3.2
chr1	20980000	20985000	chr1	21190000	21195000	0.024702161289237426	3.2
chr1	21225000	21230000	chr1	21365000	21370000	0.0056246725247605656	2.111212657236631
chr1	21225000	21230000	chr1	21655000	21660000	0.1240798164070412	2.111212657236631
chr1	21235000	21240000	chr1	21465000	21470000	0.18246807474120044	5.571523605095194
chr1	21250000	21255000	chr1	21360000	21365000	6.206899354567474e-05	3.6758347359905126
chr1	21420000	21425000	chr1	21480000	21485000	4.473435084933236e-06	2.111212657236631
chr1	21420000	21425000	chr1	22005000	22010000	0.10970693356926377	2.111212657236631
chr1	21500000	21505000	chr1	21655000	21660000	0.15494273608166617	2.111212657236631
chr1	21505000	21510000	chr1	21965000	21970000	0.19429428159770298	2.599207668339954
chr1	21595000	21600000	chr1	22930000	22935000	0.16153486779738266	2.599207668339954
chr1	21620000	21625000	chr1	22585000	22590000	0.11553857631936992	2.599207668339954
chr1	21695000	21700000	chr1	21960000	21965000	0.022237910018026986	2.111212657236631
chr1	21700000	21705000	chr1	23315000	23320000	0.1729798536206266	2.599207668339954
chr1	21710000	21715000	chr1	21750000	21755000	0.05213610771447605	2.111212657236631
chr1	21740000	21745000	chr1	21960000	21965000	0.06219609389951514	3.2
chr1	21775000	21780000	chr1	23590000	23595000	0.19429428159770298	2.111212657236631
chr1	22000000	22005000	chr1	22410000	22415000	0.12593798951669719	2.111212657236631
chr1	22125000	22130000	chr1	22415000	22420000	0.0020463518296489876	2.599207668339954
chr1	22130000	22135000	chr1	22275000	22280000	0.04603553265946056	3.2
chr1	22125000	22130000	chr1	22640000	22645000	0.0004343780467288943	4.222425314473262
chr1	22135000	22140000	chr1	22920000	22925000	0.1213549417917876	3.2
chr1	22420000	22425000	chr1	22640000	22645000	0.001445226179603498	2.111212657236631
chr1	22670000	22675000	chr1	22960000	22965000	0.19347460447938716	2.599207668339954
chr1	22675000	22680000	chr1	22930000	22935000	0.14929722604865397	4.525483399593905
chr1	22700000	22705000	chr1	22880000	22885000	0.10260074617313983	4.525483399593905
chr1	22705000	22710000	chr1	24095000	24100000	0.16808638985550156	2.111212657236631
chr1	22975000	22980000	chr1	23270000	23275000	0.035393789644254894	4.222425314473262
chr1	22975000	22980000	chr1	23090000	23095000	0.06681742030330229	2.599207668339954
chr1	22975000	22980000	chr1	23185000	23190000	0.0020137542662602872	2.111212657236631
chr1	23095000	23100000	chr1	23275000	23280000	0.07180411144561932	2.111212657236631
chr1	23100000	23105000	chr1	23180000	23185000	3.581211737215447e-05	2.111212657236631
chr1	23495000	23500000	chr1	23535000	23540000	0.0005626636084412953	2.111212657236631
chr1	23495000	23500000	chr1	23640000	23645000	0.0024126505507336394	2.111212657236631
chr1	23545000	23550000	chr1	23635000	23640000	1.061382889966378e-06	2.111212657236631
chr1	23545000	23550000	chr1	23750000	23755000	0.10970693356926377	2.111212657236631
chr1	23695000	23700000	chr1	23750000	23755000	0.0005071279460331154	2.111212657236631
chr1	23725000	23730000	chr1	25025000	25030000	0.19429428159770298	2.599207668339954
chr1	23770000	23775000	chr1	23915000	23920000	0.02492619047187546	2.111212657236631
chr1	23805000	23810000	chr1	23865000	23870000	0.08666914120455382	2.111212657236631
chr1	23805000	23810000	chr1	23915000	23920000	0.0011930749561615108	2.111212657236631
chr1	23960000	23965000	chr1	24655000	24660000	0.11993021265709246	3.2
chr1	23970000	23975000	chr1	25235000	25240000	0.034589222486282184	3.2
